NO,NAME,YEAR,ZONE,LETTER,TYPE_SUM,WRITER,NAME2,STATUS,UPDATE_TIME,NEW_PAGE,DOCUMENT,PICTURE,URL,NUM
1,一拳超人,2009年,,Y,,,,,2019-01-27,第144话,主人公埼玉原本是一名整日奔波于求职的普通人。3年前的一天偶然遇到了要对淘气少年下杀手的异变螃蟹人后，回忆起年少年时“想要成为英雄”的梦想，最终拼尽全力救下了淘气少年。之后通过拼命锻炼，埼玉终于脱胎换骨获得了最强的力量，但同时失去了头发成了光头。在独自做了一段时间英雄后，正式加入英雄协会，与众多英雄一起开始了对抗各种怪人以及恶势力的生活??????,https://cf.hamreus.com/cpic/h/7580.jpg,https://www.manhuagui.com/comic/7580/,7580
2,异世界魔王与召唤少女的奴隶魔术,2015年,,Y,,,,,2019-01-25,第75话,坂本拓真，MMORPG『CrossReverie』之中被其他玩家视为『魔王』的人物。有一天，他竟然以游戏中的身分被召唤至异世界，遇到了两个坚称自己才是『召唤主』的少女。两名少女对拓真施展驯服召唤兽的奴隶法术，却因此启动了拓真的特殊能力『魔术反射』，变成奴隶的人反而是两名少女！,https://cf.hamreus.com/cpic/h/17596_35.jpg,https://www.manhuagui.com/comic/17596/,17596
3,OVERLORD,2014年,,O,,,,,2018-10-05,第07卷,一款席卷游戏界的网路游戏「YGGDRASIL」，有一天突然毫无预警地停止一切服务——原本应该是如此。但是不知为何它却成了一款即使过了结束时间，玩家角色依然不会登出的游戏。NPC开始拥有自己的思想。,https://cf.hamreus.com/cpic/h/15761_31.jpg,https://www.manhuagui.com/comic/15761/,15761
4,overlord官方同人集,2018年,,O,,,,,2018-10-27,第47回,纳萨力克大坟墓的欢乐日常,https://cf.hamreus.com/cpic/h/27530.jpg,https://www.manhuagui.com/comic/27530/,27530
5,哥布林杀手,2016年,,G,,,,,2018-11-25,第29回,哥布林杀手漫不经心地扬起棍子。棍子上哥布林萨满的脑浆一滴一滴往下淌着。 「根本没有理由留活口。」「……就没有、善良的哥布林存在吗？」「善良的哥布林。」哥布林杀手讶异地低声念道，随后「哼」地冷笑一声。「兴许是能找到。不过……」「…………」「只有不出现在人类面前的哥布林，才是好的哥布林。」哥布林杀手如此说道。,https://cf.hamreus.com/cpic/h/20515.jpg,https://www.manhuagui.com/comic/20515/,20515
6,哥布林杀手：崭新的日子,2018年,,G,,,,,2019-01-29,第6.5话,哥布林杀手外传，新手战士和见习圣女的故事。,https://cf.hamreus.com/cpic/h/28711.jpg,https://www.manhuagui.com/comic/28711/,28711
7,哥布林杀手外传：第一年,2017年,,G,,,,,2019-01-18,第18话,哥布林杀手的前传漫画，讲述的主人公目睹姐姐被杀后，成为哥布林杀手之前的故事。,https://cf.hamreus.com/cpic/h/25388.jpg,https://www.manhuagui.com/comic/25388/,25388
8,关于我转生后成为史莱姆的那件事,2015年,,G,,,,,2019-03-07,现场录音,本以为自己被人用刀刺死了，没想到却在异世界转生成史莱姆？以能够夺取对手能力的「捕食者」与精通世界真理的「大贤者」这两样独有技为武器，史莱姆的大冒险即将展开！,https://cf.hamreus.com/cpic/h/17023_24.jpg,https://www.manhuagui.com/comic/17023/,17023
9,JOJO的奇妙冒险JOJOLion,2012年,,J,,,,,2019-02-02,第83话 收获倒计时,３月11日大地震的当天深夜，日本Ｓ市杜王町突然无预警地出现一道长达10公里的隆起──这个隆起日後被人称为「壁之眼」。有一天，平凡的高中女生广濑康穗在壁之眼与恋人岬的附近，发现了一名全身赤裸的奇特少年。,https://cf.hamreus.com/cpic/h/1420_46.jpg,https://www.manhuagui.com/comic/1420/,1420
10,MIX,2013年,,M,,,,,2019-01-06,第80回,安达充，倾力大型新连载开始！安安全安达迷们所期待的青春棒球故事！安平成24年，春。明青学园新的传说现在，开始——,https://cf.hamreus.com/cpic/h/2036.jpg,https://www.manhuagui.com/comic/2036/,2036
11,无邪气乐园,2014年,,W,,,,,2018-10-08,全彩版01,反田省太是个失意的兼职程式设计师，已经25岁的他一事无成、过着浑浑噩噩的日子。眼看同学们个个前途光明，令他不禁自惭形秽。沮丧的省太在同学会后，不慎失足掉入泳池，结果竟然时光倒流、带着25岁的心智回到10岁的过去回到了10岁的时候！原本在他印象里成熟妩媚的女同学们，现在全都变回了小学5年级的小女生。,https://cf.hamreus.com/cpic/h/19534.jpg,https://www.manhuagui.com/comic/19534/,19534
